,context?,vocab,max_len,avg accuracy,avg sender entropy,avg loss,avg mex len,mean number messages per class
0,no,2,6,0.8553555080866646,0.043680173377869044,0.2572113140303818,3.9069270674397316,7.0
1,yes,2,6,0.8312480927677754,0.06745152631637914,0.2992911095505653,3.469942020140372,7.0
