,true superclass,mex-220-c,mex-990-c,mex-910-c,mex-890-c,mex-880-c,mex-110-c,mex-270-c,mex-550-c,mex-810-c,mex-120-c,mex-420-c,mex-250-c,mex-440-c,mex-750-c,mex-350-c,mex-470-c,mex-840-c,mex-770-c,mex-190-c,mex-450-c,mex-720-c,mex-230-c,mex-140-c,mex-820-c,mex-980-c,mex-330-no-c,mex-110-no-c,mex-120-no-c,mex-650-no-c,mex-880-no-c,mex-550-no-c,mex-440-no-c,mex-190-no-c,mex-180-no-c,mex-320-no-c,mex-380-no-c,mex-560-no-c,mex-920-no-c,mex-220-no-c,mex-660-no-c,mex-10-no-c,mex-540-no-c,mex-820-no-c,mex-830-no-c,mex-990-no-c,mex-210-no-c,mex-450-no-c,mex-310-no-c,mex-750-no-c,mex-980-no-c,mex-630-no-c,mex-910-no-c,mex-770-no-c,mex-930-no-c,mex-350-no-c,mex-360-no-c,mex-860-no-c,mex-20-no-c,mex-740-no-c,mex-390-no-c,mex-230-no-c,mex-260-no-c,mex-130-no-c,mex-470-no-c,mex-280-no-c,mex-730-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-2-c,pps-symbol-3-c,pps-symbol-4-c,pps-symbol-5-c,pps-symbol-6-c,pps-symbol-7-c,pps-symbol-8-c,pps-symbol-9-c,pps-symbol-0-no-c,pps-symbol-1-no-c,pps-symbol-2-no-c,pps-symbol-3-no-c,pps-symbol-4-no-c,pps-symbol-5-no-c,pps-symbol-6-no-c,pps-symbol-7-no-c,pps-symbol-8-no-c,pps-symbol-9-no-c
suitcase,accessory,6,2,3,0,0,6,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,4,0,0,2,2,1,0,0,0,1,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,12,0,1,7,0,0,2,8,24,14,10,4,5,6,3,0,1,4
orange,food,4,0,0,1,1,0,0,6,2,1,4,0,0,3,0,1,0,1,0,0,0,0,0,0,0,3,1,3,0,0,2,7,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,13,0,5,15,0,6,5,1,24,6,6,9,14,6,1,1,3,2
apple,food,0,0,0,0,1,0,0,4,2,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,0,4,8,0,4,4,0,14,3,4,4,8,3,1,2,0,2
skis,sports,4,4,2,0,2,3,0,7,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,1,7,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,10,10,0,0,15,0,3,4,10,26,13,1,4,14,3,5,3,4,5
parking meter,outdoor,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,2,0,2,0,0,6,1,1,5,2,1,1,1,0,0
laptop,electronic,6,1,1,1,1,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0,0,2,1,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,14,12,0,0,3,0,1,3,5,19,16,2,4,3,5,5,0,2,1
sports ball,sports,8,3,3,0,0,1,0,16,0,3,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,3,3,1,0,4,16,2,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,9,20,0,1,37,0,5,0,10,41,12,6,9,32,10,8,1,0,3
donut,food,6,2,0,0,1,1,1,6,2,4,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,8,3,2,0,0,5,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,8,18,0,5,14,0,5,4,4,29,8,5,21,11,11,0,0,1,1
cell phone,electronic,15,2,4,0,0,3,2,4,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,5,3,4,0,2,5,1,0,1,0,2,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,40,18,40,0,2,8,0,4,0,8,40,14,7,20,10,11,14,1,1,2
potted plant,furniture,9,5,4,2,0,9,2,4,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,12,2,1,0,4,5,3,3,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,29,23,0,2,8,0,2,4,18,43,33,5,14,10,9,3,0,6,5
bed,furniture,1,7,4,1,4,2,0,2,3,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,12,1,0,0,1,2,3,3,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,7,1,0,5,0,0,12,21,32,35,3,6,4,2,0,0,5,8
baseball glove,sports,1,1,2,0,0,1,0,6,1,3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,8,6,0,3,14,0,4,1,4,20,6,1,2,13,5,7,0,3,3
cake,food,3,1,1,1,1,4,0,4,3,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,5,4,0,0,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,13,7,0,4,8,0,6,6,4,24,17,5,7,6,10,0,0,2,0
umbrella,accessory,5,6,1,1,2,10,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,4,1,1,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,21,11,1,3,6,0,1,5,14,31,22,8,10,2,9,4,0,1,6
