,context?,vocab,max_len,avg accuracy,avg sender entropy,avg loss,avg mex len,mean number messages per class
0,no,100,2,0.8095819346963686,3.2649008278298166,0.32261555897846667,3.0,69.0
1,yes,100,2,0.7378700030515716,3.57698888643362,0.45894528574585364,3.0,170.0
